category,scientific_name,common_names,conservation_status
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Neutral
Mammal,Bos bison,"American Bison, Bison",Neutral
Mammal,Bos taurus,"Domestic Cattle (Feral), Aurochs, Domesticated Cattle",Neutral
Mammal,Ovis aries,"Domestic Sheep, Sheep (Feral), Red Sheep, Mouflon",Neutral
Mammal,Cervus elaphus,Wapiti Or Elk,Neutral
Mammal,Odocoileus virginianus,White-Tailed Deer,Neutral
Mammal,Sus scrofa,"Feral Hog, Wild Pig",Neutral
Mammal,Canis latrans,Coyote,Species of Concern
Mammal,Canis lupus,Gray Wolf,Endangered
Mammal,Canis rufus,Red Wolf,Endangered
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Neutral
Mammal,Vulpes fulva,"Silver Fox, Cross Fox, Black Fox, Red Fox",Neutral
Mammal,Vulpes vulpes,Red Fox,Neutral
Mammal,Felis concolor,Mountain Lion,Neutral
Mammal,Felis silvestris,"Wildcat, Wild Cat",Neutral
Mammal,Lynx rufus,Bobcat,Neutral
Mammal,Puma concolor,Panther (Mountain Lion),Neutral
Mammal,Mephitis mephitis,Striped Skunk,Neutral
Mammal,Spilogale putorius,Eastern Spotted Skunk,Neutral
Mammal,Lontra canadensis,River Otter,Neutral
Mammal,Lutra canadensis,Northern River Otter,Neutral
Mammal,Martes pennanti,Fisher,Neutral
Mammal,Mustela,Mink (Or Weasel),Neutral
Mammal,Mustela frenata,Long-Tailed Weasel,Neutral
Mammal,Mustela nivalis,Least Weasel,Neutral
Mammal,Mustela vison,Mink,Neutral
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Neutral
Mammal,Ursus americanus,Black Bear,Neutral
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Neutral
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Neutral
Mammal,Lasiurus cinereus,Hoary Bat,Neutral
Mammal,Myotis austroriparius,"Southeastern Myotis, Mississippi Myotis",Species of Concern
Mammal,Myotis grisescens,Gray Myotis,Endangered
Mammal,Myotis keenii,Keen's Myotis,Species of Concern
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
Mammal,Myotis lucifugus,"Little Brown Myotis, Little Brown Bat",Species of Concern
Mammal,Myotis septentrionalis,"Northern Myotis, Northern Long-Eared Bat",Threatened
Mammal,Myotis sodalis,"Indiana Or Social Myotis, Indiana Bat",Endangered
Mammal,Nycticeius humeralis,Evening Bat,Neutral
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Neutral
Mammal,Didelphis virginiana,"Virginia Oppossum, Virginia Opossum",Neutral
Mammal,Lepus americanus,Snowshoe Hare,Neutral
Mammal,Sylvilagus floridanus,Eastern Cottontail,Neutral
Mammal,Sylvilagus obscurus,Appalachian Cottontail,Neutral
Mammal,Sylvilagus transitionalis,New England Cottontail,Neutral
Mammal,Equus caballus,"Horse, Feral Horse",Neutral
Mammal,Homo sapiens,"Humans, Man, Human",Neutral
Mammal,Castor canadensis,"American Beaver, Beaver",Neutral
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Neutral
Mammal,Microtus chrotorrhinus,"Southern Rock Vole, Rock Vole",Neutral
Mammal,Microtus pennsylvanicus,Meadow Vole,Neutral
Mammal,Microtus pinetorum,Woodland Vole,Neutral
Mammal,Neotoma floridana,Eastern Woodrat,Neutral
Mammal,Neotoma magister,"Appalachian Woodrat, Allegheny Woodrat",Neutral
Mammal,Ochrotomys nuttalli,Golden Mouse,Neutral
Mammal,Ondatra zibethicus,Muskrat,Neutral
Mammal,Oryzomys palustris,Marsh Rice Rat,Neutral
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,Neutral
Mammal,Peromyscus gossypinus,Cotton Mouse,Neutral
Mammal,Peromyscus leucopus,White-Footed Mouse,Neutral
Mammal,Peromyscus maniculatus,Deer Mouse,Neutral
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Neutral
Mammal,Synaptomys cooperi,Southern Bog Lemming,Neutral
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Neutral
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Neutral
Mammal,Zapus hudsonius,Meadow Jumping Mouse,Neutral
Mammal,Erethizon dorsatum,"Porcupine, Common Porcupine",Neutral
Mammal,Mus musculus,House Mouse,Neutral
Mammal,Rattus norvegicus,Norway Rat,Neutral
Mammal,Rattus rattus,Black Rat,Neutral
Mammal,Glaucomys sabrinus coloratus,"Northern Flying Squirrel, Carolina Northern Flying Squirrel",Endangered
Mammal,Glaucomys volans,Southern Flying Squirrel,Neutral
Mammal,Marmota monax,Woodchuck,Neutral
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",Neutral
Mammal,Sciurus niger,"Fox Squirrel, Eastern Fox Squirrel",Neutral
Mammal,Tamias striatus,Eastern Chipmunk,Neutral
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Neutral
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Neutral
Mammal,Cryptotis parva,Least Shrew,Neutral
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",Neutral
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Neutral
Mammal,Sorex fumeus,Smoky Shrew,Neutral
Mammal,Sorex hoyi,Pygmy Shrew,Neutral
Mammal,Sorex longirostris,Southeastern Shrew,Neutral
Mammal,Sorex palustris,Water Shrew,Neutral
Mammal,Condylura cristata,Star-Nosed Mole,Neutral
Mammal,Parascalops breweri,Hairy-Tailed Mole,Neutral
Mammal,Scalopus aquaticus,Eastern Mole,Neutral
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,Neutral
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
Bird,Accipiter gentilis,Northern Goshawk,Neutral
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
Bird,Buteo jamaicensis,Red-Tailed Hawk,Neutral
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
Bird,Buteo platypterus,Broad-Winged Hawk,Neutral
Bird,Circus cyaneus,Northern Harrier,Species of Concern
Bird,Elanoides forficatus,"Swallow-Tailed Kite, American Swallow-Tailed Kite",Species of Concern
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
Bird,Ictinia mississippiensis,Mississippi Kite,Neutral
Bird,Cathartes aura,Turkey Vulture,Species of Concern
Bird,Coragyps atratus,Black Vulture,Neutral
Bird,Pandion haliaetus,Osprey,Species of Concern
Bird,Aix sponsa,Wood Duck,Neutral
Bird,Anas acuta,Northern Pintail,Neutral
Bird,Anas americana,American Wigeon,Neutral
Bird,Anas clypeata,Northern Shoveler,Neutral
Bird,Anas crecca,Green-Winged Teal,Neutral
Bird,Anas discors,Blue-Winged Teal,Neutral
